Datetime,hr,spo2,stress_state,GSR(kohm),Features
15:27.7,121,95.8,0,772.96,Sitting
15:27.9,121,95.8,0,769.9,Sitting
15:28.0,121,95.8,0,769.9,Sitting
15:28.1,121,95.8,0,769.9,Sitting
15:28.2,121,95.8,0,772.96,Sitting
15:28.3,121,95.8,0,772.96,Sitting
15:28.4,121,95.8,0,772.96,Sitting
15:28.5,119,95.8,0,769.9,Sitting
15:28.7,119,95.8,0,769.9,Sitting
15:28.9,119,95.8,0,772.96,Sitting
15:29.0,122,95.8,0,769.9,Sitting
15:29.1,122,95.8,0,769.9,Sitting
15:29.2,122,95.8,0,769.9,Sitting
15:29.3,122,95.8,0,769.9,Sitting
15:29.4,122,95.8,0,769.9,Sitting
15:29.5,119,95.8,0,769.9,Sitting
15:29.7,119,95.8,0,769.9,Sitting
15:29.9,119,95.8,0,769.9,Sitting
15:30.0,119,95.8,0,769.9,Sitting
15:30.1,119,95.8,0,769.9,Sitting
15:30.2,113,95.8,0,772.96,Sitting
15:30.3,113,95.8,0,772.96,Sitting
15:30.5,113,95.8,0,769.9,Sitting
15:30.6,113,95.8,0,769.9,Sitting
15:30.8,109,95.8,0,769.9,Sitting
15:30.9,109,95.8,0,772.96,Sitting
15:31.0,109,95.8,0,772.96,Sitting
15:31.1,109,95.8,0,769.9,Sitting
15:31.2,109,95.8,0,769.9,Sitting
15:31.4,107,95.8,0,769.9,Sitting
15:31.7,107,95.8,0,769.9,Sitting
15:31.8,107,95.8,0,769.9,Sitting
15:32.0,106,95.8,0,772.96,Sitting
15:32.1,106,95.8,0,769.9,Sitting
15:32.2,106,95.8,0,769.9,Sitting
15:32.3,106,95.8,0,769.9,Sitting
15:32.4,106,95.8,0,769.9,Sitting
15:32.5,104,95.8,0,769.9,Sitting
15:32.7,104,95.8,0,772.96,Sitting
15:32.9,104,95.8,0,772.96,Sitting
15:33.0,104,95.8,0,772.96,Sitting
15:33.1,104,95.8,0,772.96,Sitting
15:33.3,103,95.8,0,769.9,Sitting
15:33.4,103,95.8,0,769.9,Sitting
15:33.6,103,95.8,0,769.9,Sitting
15:33.7,102,95.8,0,769.9,Sitting
15:33.9,102,95.8,0,769.9,Sitting
15:34.0,102,95.8,0,769.9,Sitting
15:34.1,102,95.8,0,769.9,Sitting
15:40.7,87,95.8,1,742.76,Left Fall while Sitting
15:40.8,85,95.8,1,742.76,Left Fall while Sitting
15:40.9,85,95.8,1,742.76,Left Fall while Sitting
15:41.2,85,95.8,1,745.73,Left Fall while Sitting
15:41.3,85,95.8,1,745.73,Left Fall while Sitting
15:41.4,84,95.9,1,745.73,Left Fall while Sitting
15:41.6,84,95.9,1,742.76,Left Fall while Sitting
15:41.7,84,95.9,1,739.8,Left Fall while Sitting
15:41.8,84,95.9,1,736.84,Left Fall while Sitting
15:41.9,84,95.9,1,730.96,Left Fall while Sitting
15:42.0,83,95.9,1,725.13,Left Fall while Sitting
15:42.2,83,95.9,1,719.33,Left Fall while Sitting
15:42.2,83,95.9,1,719.33,Left Fall while Sitting
15:42.4,83,95.9,1,713.57,Left Fall while Sitting
15:42.5,83,95.9,1,716.44,Left Fall while Sitting
15:42.6,83,95.9,1,713.57,Left Fall while Sitting
15:42.7,83,95.9,1,716.44,Left Fall while Sitting
15:42.8,83,95.9,1,713.57,Left Fall while Sitting
15:42.9,83,95.9,1,716.44,Left Fall while Sitting
15:43.1,83,95.9,1,719.33,Left Fall while Sitting
15:43.2,83,95.9,1,722.22,Left Fall while Sitting
15:43.3,83,95.9,1,722.22,Left Fall while Sitting
15:43.4,84,96.2,1,722.22,Left Fall while Sitting
15:43.6,84,96.2,1,713.57,Left Fall while Sitting
15:43.7,84,96.2,1,705.0,Left Fall while Sitting
15:43.9,84,96.2,1,693.71,Left Fall while Sitting
15:44.0,83,96.2,1,690.91,Left Fall while Sitting
15:44.1,83,96.2,1,682.57,Left Fall while Sitting
15:44.2,83,96.2,1,679.8,Left Fall while Sitting
15:44.3,83,96.2,1,677.05,Left Fall while Sitting
15:44.5,83,96.2,1,674.3,Left Fall while Sitting
15:44.6,83,96.2,1,671.57,Left Fall while Sitting
15:44.8,83,96.2,1,668.84,Left Fall while Sitting
15:44.9,83,96.2,1,674.3,Left Fall while Sitting
15:45.0,83,96.2,1,674.3,Left Fall while Sitting
15:45.1,83,96.2,1,677.05,Left Fall while Sitting
15:45.2,83,96.2,1,679.8,Left Fall while Sitting
15:45.3,83,96.2,1,682.57,Left Fall while Sitting
15:45.4,83,96.2,1,688.12,Left Fall while Sitting
15:45.5,81,96.2,1,690.91,Left Fall while Sitting
15:45.7,81,96.2,1,696.52,Left Fall while Sitting
15:45.9,81,96.2,1,702.16,Left Fall while Sitting
15:46.0,81,96.2,1,705.0,Left Fall while Sitting
15:46.1,81,96.2,1,707.85,Left Fall while Sitting
15:46.2,81,96.2,1,710.7,Left Fall while Sitting
15:46.3,81,96.2,1,713.57,Left Fall while Sitting
15:46.5,78,96.2,1,716.44,Left Fall while Sitting
15:46.7,78,96.2,1,719.33,Left Fall while Sitting
15:46.9,78,96.2,1,722.22,Left Fall while Sitting
15:47.0,78,96.2,1,722.22,Left Fall while Sitting
15:47.2,78,96.2,1,728.04,Left Fall while Sitting
15:47.3,78,96.2,1,725.13,Left Fall while Sitting
15:47.5,78,96.2,1,728.04,Left Fall while Sitting
15:47.6,78,96.2,1,730.96,Left Fall while Sitting
15:47.8,77,96.2,1,725.13,Left Fall while Sitting
15:47.9,77,96.2,1,722.22,Left Fall while Sitting
15:48.0,77,96.2,1,716.44,Left Fall while Sitting
15:48.1,77,96.2,1,707.85,Left Fall while Sitting
15:48.2,77,96.2,1,699.34,Left Fall while Sitting
15:48.5,75,96.2,1,682.57,Left Fall while Sitting
15:55.2,94,96.2,1,685.34,Right Fall while Sitting
15:55.4,94,96.2,1,688.12,Right Fall while Sitting
15:55.5,95,96.2,1,690.91,Right Fall while Sitting
15:55.6,95,96.2,1,693.71,Right Fall while Sitting
15:55.7,95,96.2,1,696.52,Right Fall while Sitting
15:55.8,95,96.2,1,696.52,Right Fall while Sitting
