Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
12:39.2,365,365,547.5,735,280,2.65,376.85,1.37,110.42,278,781,117.94,777,13908,35597,1559,1.02,-0.06,0.1,0.89,3.26,3.34,-4.08,-81.91,-6.15,-4.44,-0.5,-6.07,-7.54,Standing
12:39.3,408,366,549,735,280,2.65,376.85,1.37,110.42,278,779,117.94,777,13908,52614,2338,1.02,-0.1,0.07,1.73,3.8,1.44,-6.01,-81.76,-5.93,-4.26,-0.28,-5.93,-7.36,Standing
12:39.4,425,367,550.5,735,281,2.64,378.71,1.37,110.42,278,776,117.94,777,13908,64966,3114,1.01,-0.06,0.09,0.63,13.66,-2.25,-4.16,-82.28,-5.81,-3.1,-0.43,-5.74,-6.26,Standing
12:39.5,411,368,552,735,281,2.64,378.71,1.37,110.42,278,779,117.94,777,13908,81983,3893,1,-0.04,0.09,0.17,16.04,-3.11,-2.84,-82.59,-5.74,-1.71,-0.66,-5.62,-4.94,Standing
12:39.6,355,368,552,735,282,2.63,380.57,1.38,110.42,278,778,117.94,777,13908,97443,4671,1.02,-0.05,0.12,-9.24,4.08,-0.84,-3.32,-81.33,-6.6,-1.5,-0.66,-6.47,-4.69,Standing
12:39.7,375,368,552,735,282,2.63,380.57,1.38,110.42,278,779,117.94,777,13908,114460,5450,1.01,-0.07,0.11,-5.85,1.26,-1.3,-4.38,-80.89,-7.13,-1.57,-0.71,-7.02,-4.74,Standing
12:39.8,406,369,553.5,735,283,2.61,382.43,1.38,110.42,278,780,117.94,777,13908,133036,6230,0.99,-0.07,0.15,-5.78,3.4,-1.02,-4.69,-79.01,-7.65,-1.43,-0.74,-7.53,-4.53,Standing
12:39.9,429,370,555,735,284,2.6,384.3,1.39,110.42,278,774,117.94,777,13908,142288,7004,1.01,-0.07,0.15,-5.93,1.09,-0.05,-4.45,-78.99,-8.19,-1.52,-0.66,-8.04,-4.62,Standing
12:40.0,409,370,555,735,283,2.61,382.43,1.38,117.08,281,778,125.59,778,15773,0,0,0.99,-0.08,0.15,-2.31,-6.02,-3.23,-5.33,-78.84,-8.36,-2.32,-0.91,-8.24,-5.38,Standing
12:40.1,376,370,555,735,284,2.6,384.3,1.39,117.08,281,779,125.59,778,15773,17017,779,0.99,-0.07,0.12,-0.24,-10.97,-1.69,-4.51,-80.56,-8.33,-3.61,-0.99,-8.18,-6.68,Standing
