Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features,
11:17.2,640,466,699,641,444,1.3,766.84,2.17,20724.3,443,180,159.2,178,25345,126742,712,1.01,0.01,0.09,-2.06,1.89,-0.83,-0.21,-83.02,-7.67,-5.36,-3.51,-7.37,-8.47,Standing,
11:17.3,692,470,705,692,444,1.3,766.84,2.17,20724.3,443,177,159.2,178,25345,158071,889,1,0,0.1,-2.1,1.43,-1.19,-0.47,-82.58,-7.82,-5.42,-3.55,-7.53,-8.51,Standing,
11:17.4,688,474,711,692,443,1.31,763.79,2.17,20724.3,443,176,159.2,178,25345,189047,1065,1,0.02,0.1,-1.4,0.02,-0.69,0.34,-82.51,-7.91,-5.62,-3.54,-7.58,-8.69,Standing,
11:17.5,681,478,717,692,444,1.3,766.84,2.17,20724.3,443,177,159.2,178,25345,220376,1242,1,0.01,0.09,-2.24,-0.95,-2.29,-0.08,-83.19,-8.07,-5.91,-3.69,-7.75,-9,Standing,
11:17.6,631,480,720,692,443,1.31,763.79,2.17,20724.3,443,179,159.2,178,25345,252417,1421,1.01,0.01,0.11,-0.58,-0.07,-1.63,0.01,-82.41,-8.08,-6.12,-3.78,-7.75,-9.17,Standing,
11:17.7,646,483,724.5,692,444,1.3,766.84,2.17,20724.3,443,176,159.2,178,25345,283393,1597,1.01,0.01,0.09,-1.49,0.17,-1.78,0.11,-82.98,-8.17,-6.3,-3.88,-7.84,-9.37,Standing,
11:17.8,655,486,729,692,444,1.3,766.84,2.17,9.17,443,176,177.3,177,31435,0,0,1,0.01,0.1,-3.47,-0.17,-0.93,0.14,-82.82,-8.45,-6.51,-3.89,-8.11,-9.57,Standing,
11:17.9,649,489,733.5,692,444,1.3,766.84,2.17,9.17,443,176,177.3,177,31435,30976,176,1,0.01,0.09,-2.68,1.05,-0.74,0.19,-83.15,-8.66,-6.61,-3.88,-8.31,-9.67,Standing,
11:18.0,616,491,736.5,692,443,1.31,763.79,2.17,9.17,443,179,177.3,177,31435,63017,355,1.01,0.02,0.09,-2.6,1.26,-1.11,0.68,-83.2,-8.87,-6.68,-3.92,-8.48,-9.74,Standing,
11:18.1,550,492,738,692,443,1.31,763.79,2.17,9.17,443,178,177.3,177,31435,94701,533,1,0.02,0.07,-2.29,0.89,-0.52,0.3,-84.19,-9.03,-6.79,-3.89,-8.66,-9.89,Standing,
11:18.2,520,492,738,692,444,1.3,766.84,2.17,9.17,443,175,177.3,177,31435,125326,708,1,0.01,0.1,-0.64,1.8,-0.57,0.16,-82.85,-9.04,-6.81,-3.87,-8.67,-9.85,Standing,
11:18.3,525,493,739.5,692,444,1.3,766.84,2.17,9.17,443,175,177.3,177,31435,155951,883,1.01,0.02,0.09,-2.24,1.99,-0.05,0.36,-83.15,-9.21,-6.81,-3.79,-8.83,-9.86,Standing,
11:18.4,550,494,741,692,443,1.31,763.79,2.17,9.17,443,175,177.3,177,31435,186576,1058,1.01,0.02,0.09,-1.95,1.27,-0.68,0.5,-83.18,-9.35,-6.88,-3.78,-8.95,-9.94,Standing,
11:18.5,546,494,741,692,443,1.31,763.79,2.17,9.17,443,174,177.3,177,31435,216852,1232,1.01,0.02,0.09,-2.07,-0.15,-0.86,0.61,-83.01,-9.5,-7.1,-3.79,-9.09,-10.13,Standing,
11:18.6,554,495,742.5,692,444,1.3,766.84,2.17,9.17,443,175,177.3,177,31435,247477,1407,1,0.01,0.1,-0.18,2.65,-0.97,0.02,-82.43,-9.46,-7.03,-3.81,-9.08,-10.05,Standing,
11:18.7,472,495,742.5,692,443,1.31,763.79,2.17,9.17,443,174,177.3,177,31435,277753,1581,1.02,0.01,0.11,-1.24,0.95,-1.45,0.06,-82.13,-9.53,-7.14,-3.87,-9.14,-10.14,Standing,
11:18.8,442,494,741,692,443,1.31,763.79,2.17,20724.3,443,174,175.5,175,30801,0,0,1,0.02,0.09,-1.32,3.03,-1.33,0.64,-83.32,-9.6,-7.03,-3.93,-9.19,-10.09,Standing,
11:18.9,449,493,739.5,692,443,1.31,763.79,2.17,20724.3,443,174,175.5,175,30801,30276,174,1.01,0.02,0.1,-2.6,1.73,-0.7,0.28,-82.6,-9.8,-7.06,-3.92,-9.4,-10.08,Standing,
11:19.0,489,493,739.5,692,444,1.3,766.84,2.17,20724.3,443,174,175.5,175,30801,60552,348,1,0.01,0.1,-3.56,0.24,-1.6,0.27,-82.86,-10.11,-7.24,-4,-9.69,-10.26,Standing,
11:19.1,452,493,739.5,692,443,1.31,763.79,2.17,20724.3,443,173,175.5,175,30801,90481,521,1,0.02,0.09,-1.99,0.33,-3.2,0.72,-82.9,-10.25,-7.4,-4.24,-9.81,-10.42,Standing,
11:19.2,502,493,739.5,692,443,1.31,763.79,2.17,20724.3,443,173,175.5,175,30801,120410,694,1.02,0.02,0.1,-1.11,1.19,-2.67,0.41,-82.49,-10.3,-7.49,-4.43,-9.88,-10.49,Standing,
11:19.3,435,492,738,692,443,1.31,763.79,2.17,20724.3,443,173,175.5,175,30801,150339,867,1.01,0.01,0.11,-2.35,0.24,-1.69,0.1,-82.18,-10.48,-7.66,-4.52,-10.06,-10.64,Standing,
11:19.4,402,491,736.5,692,443,1.31,763.79,2.17,20724.3,443,173,175.5,175,30801,180268,1040,1.01,0.02,0.11,-1.58,0.94,-1.21,0.3,-82.36,-10.59,-7.77,-4.56,-10.15,-10.75,Standing,
11:19.5,424,490,735,692,443,1.31,763.79,2.17,20724.3,443,172,175.5,175,30801,209852,1212,1.01,0.02,0.1,-1.9,0.78,-1.31,0.65,-82.51,-10.72,-7.89,-4.61,-10.27,-10.88,Standing,
11:19.6,451,490,735,692,443,1.31,763.79,2.17,20724.3,443,173,175.5,175,30801,239781,1385,1,0.03,0.09,-3.88,-0.2,-1.11,0.94,-83.04,-11.05,-8.11,-4.65,-10.57,-11.11,Standing,
11:19.7,436,489,733.5,692,443,1.31,763.79,2.17,20724.3,443,173,175.5,175,30801,269710,1558,1.01,0.03,0.09,-4.25,0.85,-1.5,1.12,-82.99,-11.42,-8.23,-4.72,-10.92,-11.22,Standing,
11:19.8,434,488,732,692,444,1.3,766.84,2.17,20724.3,443,176,173.4,173,30067,0,0,1.02,0.03,0.09,-5.4,0.33,-2.98,1.02,-83.29,-11.91,-8.39,-4.94,-11.39,-11.39,Standing,
11:19.9,420,487,730.5,692,443,1.31,763.79,2.17,20724.3,443,172,173.4,173,30067,29584,172,1,0.02,0.08,-1.59,4.42,-1.77,0.69,-83.49,-12.01,-8.15,-5.03,-11.5,-11.17,Standing,
11:20.0,414,486,729,692,443,1.31,763.79,2.17,20724.3,443,172,173.4,173,30067,59168,344,1.01,0.03,0.09,-3.05,1.21,-1.48,0.96,-83.2,-12.26,-8.23,-5.1,-11.73,-11.23,Standing,
